OBJECTID	tract	SHAPE_Length	SHAPE_Area	Tract_1	Population
445	6071008704	0.130483	0.000659	6071008704	6787
446	6071008705	0.132027	0.000451	6071008705	4390
447	6071008706	0.301318	0.001855	6071008706	5985
448	6071008707	0.097554	0.00045	6071008707	7572
449	6071008708	0.09301	0.000341	6071008708	4027
450	6071008800	0.072208	0.000309	6071008800	6312
451	6071008901	2.798258	0.35045	6071008901	2293
452	6071009102	0.238629	0.001906	6071009102	135
453	6071009104	1.390167	0.068821	6071009104	24441
454	6071009105	0.490402	0.010976	6071009105	9679
455	6071009106	0.437074	0.012274	6071009106	9276
456	6071009107	0.408591	0.008139	6071009107	5471
457	6071009200	1.0661	0.045182	6071009200	6032
458	6059001101	0.065296	0.000177	6059001101	4296
459	6059001102	0.040733	0.000099	6059001102	3087
460	6059001103	0.057963	0.000131	6059001103	4460
461	6059001201	0.043487	0.000085	6059001201	5371
462	6059021817	0.050213	0.000103	6059021817	3673
463	6059021820	0.073672	0.000195	6059021820	4209
464	6059021821	0.089065	0.000212	6059021821	5258
465	6059021822	0.234442	0.001101	6059021822	3735
466	6037573401	0.053951	0.000101	6037573401	1407
467	6037573402	0.103638	0.000294	6037573402	6216
468	6037573403	0.073581	0.00017	6037573403	1715
469	6037573500	0.173179	0.000846	6037573500	1
470	6037573600	0.061942	0.000235	6037573600	5955
471	6037573700	0.055146	0.000168	6037573700	4449
472	6037573800	0.054405	0.000149	6037573800	4240
473	6037573901	0.119564	0.00033	6037573901	0
474	6037573902	0.046036	0.000076	6037573902	2242
475	6037574000	0.06038	0.000179	6037574000	5129
476	6037574100	0.063485	0.000175	6037574100	4896
477	6037574201	0.046764	0.000127	6037574201	3000
478	6037574202	0.060532	0.000127	6037574202	2103
479	6037574300	0.074154	0.000239	6037574300	5598
480	6037574400	0.074353	0.000325	6037574400	5106
481	6037574901	0.052991	0.00013	6037574901	3538
482	6037574902	0.038693	0.000079	6037574902	4730
483	6037575001	0.047438	0.000091	6037575001	3092
484	6037575002	0.046125	0.000093	6037575002	4548
485	6037575101	0.031206	0.000041	6037575101	5196
486	6037575102	0.028999	0.000039	6037575102	4810
487	6037575103	0.027981	0.000048	6037575103	5480
488	6037575201	0.032087	0.000055	6037575201	5085
489	6037575202	0.027896	0.000039	6037575202	5347
490	6037575300	0.031818	0.000062	6037575300	4981
491	6037575401	0.038173	0.000085	6037575401	5476
492	6037575402	0.02344	0.000032	6037575402	3758
493	6037575500	0.054727	0.000135	6037575500	252
494	6037700100	0.050766	0.000114	6037700100	10257
495	6037700200	0.040916	0.000066	6037700200	6499
496	6037700300	0.040716	0.000056	6037700300	5670
497	6037700400	0.066384	0.000134	6037700400	5296
498	6037700500	0.059055	0.000103	6037700500	7994
499	6037700600	0.135015	0.000545	6037700600	5642
500	6037700700	0.095744	0.000343	6037700700	3495
501	6037106643	0.102168	0.000429	6037106643	3747
502	6037107010	0.039591	0.000066	6037107010	3225
503	6037107020	0.044657	0.000096	6037107020	4299
504	6037108101	0.040497	0.000091	6037108101	2251
505	6037108102	0.0542	0.000203	6037108102	3527
506	6037108103	0.10546	0.000263	6037108103	3508
507	6037108104	0.045364	0.000088	6037108104	1716
508	6037108200	0.146473	0.000902	6037108200	4838
509	6037109100	0.055613	0.00014	6037109100	2450
