OBJECTID	tract	SHAPE_Length	SHAPE_Area	density	Tract_1	Population
284	6065045209	0.069858	0.000192	28430766	6065045209	5487
285	6065045301	0.184828	0.000958	4395537	6065045301	4213
286	6065045302	0.052235	0.000159	29498646	6065045302	4705
287	6065045400	0.091185	0.000378	19256362	6065045400	7279
288	6065045501	0.064911	0.000225	22957464	6065045501	5177
289	6065045502	0.051794	0.000158	26698326	6065045502	4239
290	6065045603	0.699357	0.012933	734911.8125	6065045603	9505
291	6065045604	1.112877	0.041198	244281.5625	6065045604	10064
292	6065045605	0.823528	0.018134	396761.1563	6065045605	7195
293	6037238000	0.063966	0.000161	36832400	6037238000	5963
294	6037262500	0.267107	0.002148	1640039.125	6037262500	3523
295	6037264302	0.069896	0.000167	32069478	6037264302	5375
296	6037267200	0.040627	0.000093	58065612	6037267200	5455
297	6037267501	0.027459	0.000043	120737120	6037267501	5307
298	6037269000	0.090427	0.000212	22548308	6037269000	4785
299	6037269600	0.032435	0.00006	112608264	6037269600	6761
300	6037270200	0.032055	0.000047	59582920	6037270200	2850
301	6037271100	0.046165	0.000111	33272976	6037271100	3721
302	6037271300	0.041917	0.000087	34256496	6037271300	3004
303	6037271400	0.044262	0.000112	29333048	6037271400	3299
304	6037271801	0.032677	0.00006	80174136	6037271801	4860
305	6037272200	0.036317	0.000054	111502080	6037272200	6100
306	6073000700	0.034261	0.000072	46942900	6073000700	3414
307	6073001000	0.040196	0.000081	60732896	6073001000	4948
308	6073001700	0.034053	0.000062	78570856	6073001700	4915
309	6073002401	0.033263	0.000061	88425800	6073002401	5467
310	6073002601	0.036441	0.000082	76023256	6073002601	6293
311	6073003401	0.079658	0.00027	21793138	6073003401	5890
312	6073003603	0.034333	0.000065	63865444	6073003603	4192
313	6073003902	0.043159	0.000109	46444628	6073003902	5078
314	6073004000	0.041791	0.000085	58755140	6073004000	5036
315	6073004200	0.067005	0.000246	23152106	6073004200	5708
316	6073005100	0.058983	0.000149	22531638	6073005100	3360
317	6073006000	0.040427	0.000095	34190228	6073006000	3251
318	6073006300	0.078397	0.000197	21657028	6073006300	4279
319	6073006900	0.055668	0.000174	29516392	6073006900	5146
320	6073007302	0.036704	0.000078	26596152	6073007302	2087
321	6073007600	0.654723	0.000878	7105569	6073007600	6245
322	6073008311	0.080213	0.000233	12007932	6073008311	2809
323	6073008800	0.055629	0.00014	48037680	6073008800	6762
324	6073009102	0.050718	0.000096	33870276	6073009102	3269
325	6073009107	0.044366	0.000081	40605896	6073009107	3306
326	6073009202	0.089166	0.000369	8628408	6073009202	3187
327	6073009603	0.05172	0.000156	28542490	6073009603	4478
328	6071005100	0.111394	0.000489	14756908	6071005100	7228
329	6071005200	0.070134	0.000193	19716132	6071005200	3811
330	6071005300	0.064244	0.000168	28681170	6071005300	4844
331	6071005400	0.063244	0.000173	31878874	6071005400	5516
332	6071005500	0.062732	0.000175	43417320	6071005500	7600
333	6071005600	0.066153	0.000177	35684648	6071005600	6336
334	6071005700	0.047584	0.000124	9541582	6071005700	1188
335	6071005800	0.052355	0.000164	21487646	6071005800	3538
336	6071005900	0.067637	0.000216	5497922.5	6071005900	1189
337	6071006000	0.112538	0.000713	2135739.25	6071006000	1523
338	6071006100	0.109662	0.000436	18215496	6071006100	7947
339	6071006201	0.050247	0.000155	20619286	6071006201	3202
340	6071006202	0.062576	0.000239	33716688	6071006202	8075
341	6071006301	0.087352	0.000254	19879600	6071006301	5069
342	6071006302	0.086804	0.000254	29280474	6071006302	7438
343	6071006401	0.057833	0.000195	13251011	6071006401	2585
344	6071006402	0.056861	0.000194	23749276	6071006402	4620
345	6071006500	0.104033	0.000377	17704320	6071006500	6688
346	6071006600	0.103155	0.000482	25981416	6071006600	12546
347	6071006700	0.062105	0.000185	21866700	6071006700	4065
348	6071006800	0.03201	0.00006	14725930	6071006800	889
349	6071006900	0.088473	0.000338	8654118	6071006900	2929
350	6065042719	0.356354	0.002678	1359402	6065042719	3641
351	6065042720	0.294692	0.003466	864256.75	6065042720	2996
352	6065042721	0.444039	0.007274	653106.5	6065042721	4751
353	6065042722	0.333413	0.00359	2322316.25	6065042722	8339
354	6065042723	0.293224	0.003406	1276172.875	6065042723	4347
355	6065042800	0.131603	0.000529	12172736	6065042800	6451
356	6065042901	0.42535	0.002743	1927893.375	6065042901	5289
357	6065042902	0.373621	0.004247	901397.375	6065042902	3829
358	6065042903	0.355883	0.004314	910700.5625	6065042903	3929
359	6065042904	0.248372	0.00229	3001916.25	6065042904	6877
360	6065043001	0.261225	0.00231	1676165.125	6065043001	3873
361	6065043002	0.539516	0.004575	1817915.25	6065043002	8317
362	6065043003	0.060632	0.000169	36047356	6065043003	6122
363	6029004500	2.393922	0.233361	14646.7793	6029004500	3418
364	6029004601	0.065001	0.000261	1739379	6029004601	454
